100,1.00,0.04
110,1.19,0.01
121,0.98,0.01
133,1.19,0.04
146,1.20,0.01
160,1.19,0.02
176,1.08,0.04
193,1.17,0.00
212,1.23,-0.04
233,1.19,-0.00
256,1.15,0.03
281,1.21,-0.00
309,1.10,0.03
339,1.18,0.06
372,1.19,-0.00
409,1.19,0.03
449,1.17,0.02
493,1.17,0.01
542,1.25,0.03
596,1.20,0.03
655,1.18,-0.01
720,1.19,0.02
792,1.20,0.01
871,1.19,0.04
958,1.28,0.02
1053,1.13,0.03
1158,1.19,0.01
1273,1.22,0.03
1400,1.13,0.02
1540,1.24,0.04
1694,1.30,0.03
1863,1.20,0.02
2049,1.21,0.02
2253,1.17,0.02
2478,1.17,0.01
2725,1.24,0.07
2997,1.30,0.03
3296,1.19,0.00
3625,1.22,0.06
3987,1.23,0.04
4385,1.19,0.01
4823,1.19,0.02
5305,1.29,-0.01
5835,1.14,0.02
6418,1.18,-0.03
7059,1.21,0.02
7764,1.23,0.03
8540,1.19,0.08
9394,1.19,-0.10
10333,1.19,0.02
11366,1.20,0.02
12502,1.37,0.00
13752,1.19,0.02
15127,1.19,0.02
16639,1.18,-0.07
18302,1.18,0.02
20132,1.20,0.06
22145,1.19,0.03
24359,1.20,0.01
26794,1.21,0.02
29473,1.08,-0.07
32420,1.28,0.02
35662,1.30,-0.03
39228,1.49,0.01
43150,1.64,0.01
47465,1.73,0.06
52211,1.85,-0.03
57432,1.93,-0.01
63175,2.02,0.03
69492,2.12,0.03
76441,2.12,0.01
84085,2.25,0.05
92493,2.30,-0.05
101742,2.36,0.00
111916,2.66,0.01
123107,2.89,0.03
135417,3.09,0.04
148958,3.08,0.02
163853,3.14,0.02
180238,3.21,-0.03
198261,3.60,0.06
218087,3.77,-0.02
239895,4.00,0.03
263884,4.26,0.01
290272,4.69,0.01
319299,5.43,0.04
351228,5.86,0.04
386350,6.19,0.02
424985,6.60,0.06
467483,7.18,0.02
514231,7.43,0.04
565654,7.87,0.02
622219,8.17,0.03
684440,8.47,0.02
752884,8.86,0.02
828172,9.08,0.01
910989,9.36,0.02
1002087,9.58,0.03
1102295,9.83,0.03
1212524,9.89,0.01
1333776,10.19,0.03
1467153,10.35,0.02
1613868,10.50,0.03
1775254,10.63,-0.03
1952779,10.73,0.04
2148056,10.87,0.03
2362861,10.96,0.01
2599147,11.05,0.03
2859061,11.21,0.03
3144967,11.23,0.02
3459463,10.06,0.03
3805409,10.26,0.03
4185949,10.54,0.03
4604543,10.80,0.03
5064997,11.28,0.04
5571496,10.13,0.04
6128645,10.66,0.03
6741509,11.62,0.05
7415659,12.61,0.06
8157224,14.76,0.06
8972946,17.53,0.07
9870240,22.49,0.04
10857264,25.15,0.09
11942990,26.70,0.10
13137289,30.24,0.10
14451017,33.33,0.10
15896118,36.37,0.11
17485729,39.13,0.11
19234301,41.24,0.12
21157731,43.41,0.13
23273504,45.61,0.13
25600854,47.40,0.14
28160939,48.94,0.13
30977032,50.39,0.11
34074735,51.78,0.13
37482208,53.04,0.13
41230428,54.11,0.14
45353470,55.13,0.11
49888817,56.07,0.15
54877698,56.96,0.13
60365467,57.65,0.13
66402013,58.38,0.13
73042214,59.27,0.13
80346435,60.02,0.13
88381078,60.88,0.14
97219185,61.58,0.13
106941103,62.19,0.14
117635213,62.67,0.14
129398734,63.22,0.13
142338607,63.64,0.14
156572467,64.13,0.14
172229713,64.55,0.14
189452684,64.87,0.14
208397952,65.11,0.13
229237747,65.55,0.09
252161521,65.67,0.13
277377673,65.94,0.08
305115440,66.16,0.13
335626984,66.33,0.16
369189682,66.50,0.13
406108650,66.72,0.20
446719515,66.85,0.13
491391466,66.92,0.17
540530612,67.14,0.14
594583673,67.21,0.18
654042040,67.26,0.14
719446244,67.38,0.20
791390868,67.42,0.13
870529954,67.54,0.09
957582949,67.66,0.14
1053341243,67.70,0.13
1158675367,67.73,0.13
1274542903,67.82,0.14
1401997193,67.87,0.14
1542196912,67.85,0.13
1696416603,67.89,0.14
1866058263,67.92,0.14
2052664089,67.94,0.14
2257930497,67.99,0.14
2483723546,68.02,0.14
2732095900,68.04,0.13
3005305490,68.11,0.14
3305836039,68.35,0.13
3636419642,68.71,0.12
4000061606,69.09,0.13
4400067766,69.29,0.13
4840074542,69.57,0.14
5324081996,69.80,0.14
5856490195,70.06,0.14